Well,PHIE,SWE,Reservoir
Demo_Well_4,0.1082,0.96907,VENUS
Demo_Well_4,0.11055,0.78989,VENUS
Demo_Well_4,0.11321,0.74607,VENUS
Demo_Well_4,0.10663,0.79398,VENUS
Demo_Well_4,0.10313,0.84794,VENUS
Demo_Well_4,0.10063,0.82961,VENUS
Demo_Well_4,0.10518,0.77746,VENUS
Demo_Well_4,0.12042,0.72455,VENUS
Demo_Well_4,0.16492,0.63011,VENUS
Demo_Well_4,0.21525,0.55238,VENUS
Demo_Well_4,0.2321,0.51821,VENUS
Demo_Well_4,0.20415,0.52962,VENUS
Demo_Well_4,0.15339,0.58318,VENUS
Demo_Well_4,0.12879,0.6756,VENUS
Demo_Well_4,0.13438,0.69913,VENUS
Demo_Well_4,0.14245,0.63092,VENUS
Demo_Well_4,0.13867,0.64413,VENUS
Demo_Well_4,0.13363,0.62092,VENUS
Demo_Well_4,0.12446,0.66747,VENUS
Demo_Well_4,0.1139,0.77227,VENUS
Demo_Well_4,0.11174,0.96706,VENUS
Demo_Well_4,0.10562,1.0,VENUS
Demo_Well_4,0.09596,1.0,VENUS
Demo_Well_4,0.09245,1.0,VENUS
Demo_Well_4,0.0979,1.0,VENUS
Demo_Well_4,0.09804,1.0,VENUS
Demo_Well_4,0.11962,0.83465,VENUS
Demo_Well_4,0.16048,0.73605,VENUS
Demo_Well_4,0.20242,0.64562,VENUS
Demo_Well_4,0.19392,0.61411,VENUS
Demo_Well_4,0.13918,0.73076,VENUS
Demo_Well_4,0.09569,1.0,VENUS
Demo_Well_4,0.18358,0.64335,VENUS
Demo_Well_4,0.20874,0.59698,VENUS
Demo_Well_4,0.22559,0.60219,VENUS
Demo_Well_4,0.22617,0.58793,VENUS
Demo_Well_4,0.21179,0.52526,VENUS
Demo_Well_4,0.20337,0.47138,VENUS
Demo_Well_4,0.16096,0.43213,VENUS
Demo_Well_6,0.0919,1.0,VENUS
Demo_Well_6,0.09119,1.0,VENUS
Demo_Well_6,0.0863,1.0,VENUS
Demo_Well_6,0.10431,1.0,VENUS
Demo_Well_6,0.12227,1.0,VENUS
Demo_Well_6,0.13793,1.0,VENUS
Demo_Well_6,0.14395,1.0,VENUS
Demo_Well_6,0.14006,1.0,VENUS
Demo_Well_6,0.1377,1.0,VENUS
Demo_Well_6,0.13138,1.0,VENUS
Demo_Well_6,0.12879,1.0,VENUS
Demo_Well_6,0.1388,0.95843,VENUS
Demo_Well_6,0.14613,0.92986,VENUS
Demo_Well_6,0.14726,0.98625,VENUS
Demo_Well_6,0.1327,1.0,VENUS
Demo_Well_6,0.10536,1.0,VENUS
Demo_Well_6,0.09443,1.0,VENUS
Demo_Well_6,0.09508,1.0,VENUS
Demo_Well_6,0.09225,1.0,VENUS
Demo_Well_6,0.11399,1.0,VENUS
Demo_Well_6,0.13312,0.95325,VENUS
Demo_Well_6,0.14742,0.86672,VENUS
Demo_Well_6,0.15608,0.86744,VENUS
Demo_Well_6,0.15945,0.92646,VENUS
Demo_Well_6,0.14537,1.0,VENUS
Demo_Well_6,0.1113,1.0,VENUS
Demo_Well_6,0.09919,1.0,VENUS
Demo_Well_6,0.11503,1.0,VENUS
Demo_Well_6,0.12109,1.0,VENUS
Demo_Well_6,0.12051,1.0,VENUS
Demo_Well_6,0.11569,1.0,VENUS
Demo_Well_6,0.106,1.0,VENUS
Demo_Well_6,0.10977,1.0,VENUS
Demo_Well_6,0.12408,1.0,VENUS
Demo_Well_6,0.12363,1.0,VENUS
Demo_Well_6,0.10947,1.0,VENUS
Demo_Well_6,0.08883,1.0,VENUS
Demo_Well_6,0.10377,1.0,VENUS
Demo_Well_6,0.11752,1.0,VENUS
Demo_Well_6,0.12662,1.0,VENUS
Demo_Well_6,0.12146,1.0,VENUS
Demo_Well_6,0.10229,1.0,VENUS
Demo_Well_6,0.08826,1.0,VENUS
Demo_Well_6,0.09775,1.0,VENUS
Demo_Well_6,0.10831,1.0,VENUS
Demo_Well_6,0.11598,1.0,VENUS
Demo_Well_6,0.12074,1.0,VENUS
